origin,destination,count
3325,3563,24645.96779853
4341,3563,24424.4353202
3635,3563,19193.93060338
3692,3563,18293.96298372
3776,3563,16356.33134264
4330,3563,16089.99211268
3959,3563,15502.93086969
3563,3563,14608.04573
3515,3563,12880.46144588
3398,3563,12255.66386262
3413,3563,12183.94066848
3523,3563,12087.451285180001
3446,3563,11230.68635981
4314,3563,10899.01651836
3390,3563,10768.8396885
3444,3563,10695.24007078
3401,3563,9808.54445946
4174,3563,9353.98866154
3340,3563,9353.82934855
3392,3563,9256.34286303
