origin,destination,count
4170.0,4170.0,502.5
4172.0,4172.0,323.0
4173.0,4173.0,239.7
4679.0,4679.0,143.2
4776.0,4776.0,112.4
4172.0,4174.0,104.0
4679.0,4663.0,99.9
4170.0,4173.0,99.8
4679.0,4172.0,97.6
4879.0,4879.0,84.6
4173.0,4170.0,82.6
4170.0,4172.0,74.1
4663.0,4679.0,73.7
4174.0,4172.0,73.6
4172.0,4170.0,70.2
4682.0,4682.0,69.0
4172.0,4679.0,67.8
4176.0,4176.0,67.1
4172.0,4173.0,66.1
4172.0,4176.0,62.8
4663.0,4663.0,60.6
4176.0,4172.0,57.3
4173.0,4172.0,54.8
4795.0,4795.0,54.6
4308.0,4308.0,54.3
4679.0,4170.0,54.2
4779.0,4779.0,52.5
4652.0,4652.0,52.0
4170.0,4308.0,50.9
4695.0,4695.0,50.5
4787.0,4787.0,49.5
4694.0,4695.0,49.0
4679.0,4174.0,47.6
4771.0,4771.0,46.8
4790.0,4790.0,46.5
4792.0,4792.0,46.0
4172.0,4682.0,45.3
4969.0,4969.0,45.0
4174.0,4174.0,43.6
4172.0,4175.0,42.3
5194.0,4172.0,42.3
4679.0,4670.0,41.3
4175.0,4172.0,41.2
4694.0,4173.0,41.0
4690.0,4172.0,39.5
5642.0,4170.0,39.0
4679.0,4173.0,38.3
4679.0,4695.0,37.0
4787.0,4779.0,36.5
4704.0,4172.0,35.8
4781.0,4781.0,35.7
4776.0,4781.0,34.3
4679.0,4682.0,33.6
4679.0,4176.0,33.6
4694.0,4172.0,33.3
4714.0,4172.0,33.3
4690.0,4690.0,32.9
4173.0,4175.0,32.8
4681.0,4681.0,32.3
4170.0,4652.0,32.3
4781.0,4776.0,32.3
4174.0,4679.0,32.0
4682.0,4172.0,31.6
4181.0,4172.0,31.3
4176.0,4173.0,31.1
4170.0,4679.0,31.1
4714.0,4170.0,31.1
4181.0,4170.0,31.0
5642.0,4172.0,30.6
4787.0,4776.0,30.3
4795.0,4790.0,30.0
4790.0,4795.0,30.0
4694.0,4170.0,29.8
5194.0,4170.0,29.6
4307.0,4170.0,29.5
4652.0,4308.0,29.0
4308.0,4652.0,29.0
4690.0,4173.0,28.5
4703.0,4172.0,28.3
4679.0,4674.0,28.0
4695.0,4679.0,28.0
4173.0,4174.0,28.0
4173.0,4679.0,27.9
4679.0,4175.0,27.8
4176.0,4679.0,27.6
4690.0,4170.0,26.8
4779.0,4787.0,26.8
4176.0,4170.0,26.8
4703.0,4703.0,26.3
4787.0,4796.0,25.8
4679.0,4696.0,25.8
4170.0,4175.0,25.8
4787.0,4792.0,25.6
4679.0,4673.0,25.3
4175.0,4173.0,25.0
4172.0,4177.0,25.0
4176.0,4174.0,24.3
4170.0,4653.0,24.3
5642.0,4173.0,24.3
4174.0,4173.0,24.3
