origin,destination,count
Carlsbad,San Diego,3539.1397208
Chula Vista,San Diego,2802.86527
Coronado,San Diego,378.5898204
Del Mar,San Diego,530.756487
El Cajon,San Diego,1481.1656689
Encinitas,San Diego,3256.2754494
Escondido,San Diego,2273.0339325
Imperial Beach,San Diego,260.5898204
La Mesa,San Diego,1208.9271458
Lemon Grove,San Diego,384.482036
National City,San Diego,1114.2854293
Oceanside,San Diego,2566.1417169
Poway,San Diego,1712.1536928
San Diego,San Diego,92563.56713676
San Marcos,San Diego,1408.8782437
Santee,San Diego,1372.7644712
Solana Beach,San Diego,1250.9241517
Unincorporated,San Diego,5496.2724559
Vista,San Diego,943.0628743999999
