origin,destination,count
Sorrento Valley Employment Center,Sorrento Valley Employment Center,31581.42269694
Mira Mesa,Sorrento Valley Employment Center,7819.12057678
Unincorporated,Sorrento Valley Employment Center,5495.2724559
Kearny Mesa,Sorrento Valley Employment Center,4829.461078
Clairemont Mesa,Sorrento Valley Employment Center,3948.8253494
Carlsbad,Sorrento Valley Employment Center,3539.1397208
Encinitas,Sorrento Valley Employment Center,3256.2754494
Downtown,Sorrento Valley Employment Center,3165.600798
Pacific Beach,Sorrento Valley Employment Center,2996.4590818
Carmel Valley,Sorrento Valley Employment Center,2803.299401
