origin,destination,count
2199,2199,2424.60170514
2236,2199,2336.79332244
2215,2199,2218.57630174
2264,2199,1092.58573734
2254,2199,1040.6826346
2213,2199,1025.71547814
2173,2199,868.6487024
2283,2199,862.8832335
2258,2199,861.8552892
2239,2199,861.0868261
2157,2199,746.48992914
2202,2199,693.4790419
2252,2199,682.86318264
2228,2199,633.4820358
2510,2199,591.7135729
2204,2199,547.2195608
2086,2199,543.12865174
2129,2199,500.6886227
2265,2199,500.4880239
2282,2199,478.8213572
3403,2199,478.8123752
2144,2199,464.7165668
2156,2199,458.62375249999997
2170,2199,458.3892215
2292,2199,450.7534929
2249,2199,437.0249501
2253,2199,428.1636725
2247,2199,417.6267464
2269,2199,409.6886228
2160,2199,396.8862276
2172,2199,394.1576846
2163,2199,385.0898204
2121,2199,382.8552894
2270,2199,376.021956
2153,2199,374.1237525
2242,2199,370.7255488
2759,2199,349.7874252
2166,2199,346.2225549
2028,2199,339.6207585
2161,2199,336.4540917
2563,2199,335.3522954
2250,2199,331.5928144
2512,2199,315.5249501
2272,2199,313.6946107
2266,2199,297.494012
2218,2199,295.9261477
2061,2199,283.0249501
2257,2199,278.05888219999997
2127,2199,277.8273453
2009,2199,273.8552894
2227,2199,272.03583744
2137,2199,270.756487
2113,2199,269.8582834
1923,2199,268.0898204
2149,2199,260.9261477
2222,2199,260.5868264
2155,2199,251.2964072
2284,2199,235.6576846
2305,2199,232.494012
3190,2199,225.4261477
2589,2199,221.4291417
2043,2199,218.6916168
2311,2199,213.8273453
2142,2199,212.00190534
1981,2199,211.8273452
3153,2199,209.491018
2544,2199,209.3273453
2069,2199,208.756487
2188,2199,206.8612773
3469,2199,206.2934132
3059,2199,202.3922156
2162,2199,201.39221560000001
2357,2199,199.6267465
2248,2199,199.36917074
2049,2199,199.1267465
1966,2199,194.1946108
2286,2199,194.0958083
4019,2199,191.6576846
1877,2199,189.6916168
2198,2199,188.494012
2111,2199,185.1297405
2823,2199,184.2255489
2167,2199,183.9261477
1942,2199,182.7285429
2533,2199,182.6297405
2030,2199,180.0928144
2547,2199,180.0279441
2562,2199,175.1946108
2091,2199,174.494012
2303,2199,174.1267465
2289,2199,172.1606786
3325,2199,171.2964072
2039,2199,168.5249501
2537,2199,167.8952096
1806,2199,166.7315369
2315,2199,165.6297405
2058,2199,165.2934132
3176,2199,163.5958084
2099,2199,162.1916168
4330,2199,160.8952096
2485,2199,157.8982036
2564,2199,154.997006
1792,2199,154.0928144
2027,2199,153.2285429
2201,2199,150.6946108
3151,2199,149.7255489
2817,2199,147.0279441
1687,2199,146.5928144
2084,2199,145.1297405
1702,2199,145.0249501
2016,2199,144.3612774
3346,2199,143.7964072
2070,2199,143.759481
1936,2199,142.8612774
2220,2199,142.5988024
2034,2199,142.3982036
3445,2199,142.3952096
3413,2199,141.497006
2194,2199,140.5958084
2200,2199,138.3952096
2618,2199,137.03093810000001
