origin,destination,count
,,1733211.5
15300.0,15300.0,15023.2
7090.0,7090.0,14548.0
15304.0,15304.0,12071.5
8511.0,8511.0,10598.9
2095.0,2095.0,9529.6
7521.0,7521.0,6836.7
4170.0,4170.0,5807.3
3093.0,3093.0,4711.5
15305.0,15305.0,4648.3
2689.0,2689.0,4553.1
6854.0,7090.0,4076.7
19213.0,19213.0,3980.7
7090.0,6854.0,3976.8
15300.0,15304.0,3762.2
15304.0,15300.0,3685.3
6866.0,7090.0,3408.9
7090.0,6866.0,3359.5
3017.0,3017.0,3322.6
4172.0,4172.0,3090.3
3050.0,3050.0,3053.0
7114.0,7066.0,2869.2
7066.0,7114.0,2840.4
5642.0,5642.0,2762.2
3044.0,3044.0,2580.3
5873.0,5873.0,2515.8
2096.0,2096.0,2453.3
7090.0,7088.0,2428.0
7088.0,7090.0,2410.1
8511.0,7066.0,2081.2
1070.0,1070.0,2056.6
7066.0,8511.0,2030.1
22840.0,22840.0,2004.9
2096.0,2095.0,1870.8
2095.0,2096.0,1858.5
5605.0,5605.0,1619.5
4173.0,4173.0,1613.0
7632.0,7632.0,1599.7
7087.0,7090.0,1546.5
19018.0,19018.0,1527.6
6978.0,6978.0,1513.3
7090.0,6967.0,1505.1
5161.0,5161.0,1502.7
6967.0,7090.0,1501.7
12172.0,12172.0,1496.5
7090.0,7087.0,1428.1
15305.0,15304.0,1426.8
7066.0,6935.0,1382.9
6935.0,7066.0,1372.3
3050.0,3093.0,1356.8
11883.0,11883.0,1346.0
15301.0,2997.0,1335.0
2997.0,15301.0,1335.0
4690.0,4690.0,1324.7
8167.0,7090.0,1292.2
7046.0,7066.0,1281.7
3093.0,3050.0,1279.4
7090.0,8167.0,1262.0
15304.0,15305.0,1259.7
4172.0,4170.0,1241.3
18314.0,18314.0,1233.7
7066.0,7046.0,1222.5
6276.0,6281.0,1220.7
4173.0,4170.0,1215.7
8729.0,8729.0,1194.2
4170.0,4173.0,1179.4
4170.0,4172.0,1172.6
7114.0,7114.0,1157.7
4679.0,4679.0,1084.1
18576.0,18576.0,1070.6
15307.0,15307.0,1052.5
6528.0,6528.0,1052.5
8507.0,8511.0,1049.1
18610.0,18610.0,1043.6
219.0,219.0,1039.6
6864.0,7090.0,1034.3
19191.0,19213.0,1032.8
19213.0,19191.0,1029.8
6281.0,6276.0,1027.7
22840.0,2095.0,1024.7
5599.0,5599.0,1014.8
5604.0,5604.0,1014.7
2095.0,22840.0,993.4
22840.0,2096.0,993.0
7090.0,6864.0,987.8
8511.0,8507.0,984.7
11902.0,11902.0,975.4
6088.0,6088.0,962.6
2623.0,2623.0,953.4
15300.0,15307.0,950.8
15303.0,15300.0,943.7
15300.0,15303.0,939.0
15307.0,15300.0,932.4
19191.0,18314.0,926.4
2096.0,22840.0,925.9
6176.0,6176.0,920.9
18314.0,19191.0,907.8
4172.0,4174.0,906.5
7084.0,7090.0,890.6
3044.0,3025.0,887.0
