origin,destination,count
3403,3403,72654.8
4019,3403,40369.9
4330,3403,35151.9
3692,3403,31392.7
3469,3403,22469.1
3959,3403,20837.6
4341,3403,18391.8
3325,3403,17606.8
3515,3403,15909.8
3635,3403,15660.1
3413,3403,15642.8
3446,3403,13914.7
3776,3403,13636.2
3563,3403,13052.0
3346,3403,12896.0
3390,3403,12768.8
3523,3403,12704.4
3363,3403,12508.9
3444,3403,12460.7
3393,3403,12131.7
4174,3403,11895.2
3398,3403,11463.7
3340,3403,11146.1
1,3403,11010.0
3472,3403,10415.3
4239,3403,10378.9
4224,3403,10153.0
3445,3403,9965.1
3947,3403,9927.7
4314,3403,9813.0
3392,3403,9792.5
4106,3403,9452.1
3366,3403,9313.4
3518,3403,9201.5
3383,3403,8902.3
3401,3403,8651.4
3324,3403,8614.2
3375,3403,8372.7
4227,3403,8345.9
4132,3403,8190.6
3337,3403,8176.2
4201,3403,7859.3
4107,3403,7640.7
4177,3403,7638.8
3464,3403,7609.9
4026,3403,7604.7
3513,3403,7391.8
3344,3403,7303.1
3215,3403,7267.3
3514,3403,7094.1
3501,3403,7073.5
3402,3403,6859.6
4202,3403,6750.4
4062,3403,6621.6
3253,3403,6558.1
3312,3403,6547.3
3342,3403,6540.3
4053,3403,6442.1
4131,3403,6434.6
3388,3403,6408.5
4175,3403,6337.9
3860,3403,6316.9
3313,3403,6171.1
3886,3403,6132.7
4255,3403,6046.9
4133,3403,6033.8
3521,3403,5960.5
3315,3403,5959.8
3317,3403,5950.6
3406,3403,5799.4
4169,3403,5679.1
4008,3403,5675.0
3964,3403,5651.9
3493,3403,5630.4
3311,3403,5584.6
3485,3403,5577.9
3512,3403,5572.7
3498,3403,5558.5
3378,3403,5532.1
3255,3403,5499.9
3497,3403,5478.1
3261,3403,5422.0
3595,3403,5398.1
3540,3403,5380.3
3984,3403,5325.9
3396,3403,5316.6
4060,3403,5272.7
4027,3403,5256.0
3400,3403,5246.4
3462,3403,5171.3
4123,3403,5141.3
4079,3403,5099.3
4052,3403,4989.1
3259,3403,4967.6
3437,3403,4887.6
4395,3403,4886.6
4167,3403,4884.0
3360,3403,4807.8
3877,3403,4774.2
3547,3403,4770.8
3395,3403,4761.7
4054,3403,4742.2
3314,3403,4734.1
4153,3403,4697.1
3382,3403,4669.3
3502,3403,4651.8
3397,3403,4642.2
3928,3403,4630.5
4037,3403,4612.2
3520,3403,4609.4
3459,3403,4603.2
4234,3403,4587.2
4101,3403,4554.1
3399,3403,4529.8
3536,3403,4477.4
3965,3403,4441.6
3433,3403,4416.7
4195,3403,4389.7
3153,3403,4362.2
4056,3403,4335.7
3648,3403,4332.9
3432,3403,4311.8
3343,3403,4302.1
4127,3403,4300.2
3765,3403,4268.7
3914,3403,4266.3
3190,3403,4251.3
4111,3403,4184.3
3573,3403,4175.0
3845,3403,4161.1
3597,3403,4160.9
3819,3403,4127.1
4005,3403,4123.3
3996,3403,4112.2
4129,3403,4032.2
3698,3403,4021.0
3425,3403,4010.1
4047,3403,3988.6
4181,3403,3987.4
4286,3403,3971.6
3517,3403,3933.3
4031,3403,3927.3
4092,3403,3925.8
3834,3403,3916.7
3339,3403,3914.0
4036,3403,3897.0
3543,3403,3893.7
4030,3403,3891.5
3439,3403,3887.9
3608,3403,3886.0
4287,3403,3795.6
3479,3403,3795.2
4059,3403,3752.1
3977,3403,3725.4
4180,3403,3698.2
4178,3403,3696.2
4004,3403,3691.0
4156,3403,3687.3
4078,3403,3645.8
3176,3403,3632.3
4112,3403,3589.8
3516,3403,3564.7
4200,3403,3541.4
3858,3403,3537.1
4130,3403,3532.4
4024,3403,3511.2
3801,3403,3481.7
3461,3403,3475.2
3387,3403,3467.3
3569,3403,3463.2
3505,3403,3453.1
3581,3403,3452.4
3946,3403,3439.7
3272,3403,3388.5
4140,3403,3366.5
3851,3403,3361.3
3059,3403,3332.6
4010,3403,3330.8
3911,3403,3272.6
4207,3403,3270.1
3793,3403,3246.3
3661,3403,3245.1
3467,3403,3223.4
3297,3403,3216.5
3820,3403,3215.7
4216,3403,3198.3
4136,3403,3160.1
2510,3403,3159.0
3448,3403,3134.8
3951,3403,3112.6
3450,3403,3098.9
3169,3403,3097.8
4338,3403,3086.7
4038,3403,3081.5
4014,3403,3070.7
3349,3403,3054.9
4134,3403,3048.0
3966,3403,3023.2
4035,3403,3020.9
3660,3403,3008.6
3365,3403,3008.5
12,3403,2949.9
3385,3403,2949.8
4275,3403,2941.4
3289,3403,2928.3
3127,3403,2926.7
4292,3403,2921.0
4146,3403,2912.2
3134,3403,2906.4
4179,3403,2901.5
3726,3403,2901.2
4148,3403,2885.8
4160,3403,2863.0
4041,3403,2861.5
4199,3403,2860.4
3273,3403,2850.9
3963,3403,2848.2
3056,3403,2846.8
4091,3403,2845.5
4051,3403,2822.7
2199,3403,2791.9
3148,3403,2769.8
3844,3403,2765.7
3863,3403,2756.7
4144,3403,2753.3
4080,3403,2749.3
2759,3403,2745.6
3985,3403,2740.1
3866,3403,2739.5
4001,3403,2724.5
3854,3403,2708.6
3986,3403,2700.6
3968,3403,2688.0
4237,3403,2674.8
3646,3403,2673.1
3122,3403,2655.7
3338,3403,2650.3
4196,3403,2638.6
3451,3403,2630.0
3935,3403,2619.8
4006,3403,2609.4
3277,3403,2597.9
4025,3403,2576.7
3943,3403,2566.3
3979,3403,2531.7
4158,3403,2520.2
4055,3403,2491.3
3949,3403,2477.5
4162,3403,2472.6
4182,3403,2450.0
2215,3403,2445.3
4241,3403,2442.9
4110,3403,2433.6
4040,3403,2427.4
3528,3403,2416.8
3593,3403,2413.0
4063,3403,2405.8
3915,3403,2402.4
3756,3403,2397.0
4087,3403,2391.7
4007,3403,2384.0
3193,3403,2383.2
3847,3403,2379.0
3812,3403,2371.4
3522,3403,2309.4
3864,3403,2309.4
3556,3403,2306.6
3717,3403,2301.5
4049,3403,2298.6
3585,3403,2291.6
4251,3403,2272.7
3848,3403,2271.4
3665,3403,2265.1
3948,3403,2261.3
4142,3403,2246.8
4147,3403,2242.1
3590,3403,2238.9
3609,3403,2238.5
4145,3403,2237.8
3932,3403,2231.6
3913,3403,2230.3
4118,3403,2199.2
3982,3403,2197.6
3850,3403,2191.8
3330,3403,2191.6
3908,3403,2172.5
3784,3403,2165.0
3052,3403,2162.1
3870,3403,2153.4
3151,3403,2146.6
2990,3403,2142.6
3320,3403,2133.0
3981,3403,2124.2
3941,3403,2099.3
3389,3403,2088.7
3460,3403,2081.4
3699,3403,2070.9
3449,3403,2067.9
3654,3403,2067.0
3410,3403,2065.7
4029,3403,2062.6
3483,3403,2062.6
3872,3403,2058.0
3129,3403,2048.5
4279,3403,2044.7
2785,3403,2044.0
3553,3403,2040.6
4009,3403,2035.3
3840,3403,2031.2
3967,3403,2024.0
4083,3403,2022.8
3641,3403,2022.4
3112,3403,2018.3
4034,3403,2015.9
4258,3403,2013.2
4203,3403,2010.6
4215,3403,2005.6
4426,3403,1991.0
3642,3403,1984.9
4013,3403,1979.1
3939,3403,1974.7
4183,3403,1971.7
4245,3403,1966.6
3427,3403,1963.3
4238,3403,1955.5
3118,3403,1943.2
4108,3403,1940.9
4020,3403,1936.8
3942,3403,1932.9
3144,3403,1921.8
3301,3403,1916.1
4113,3403,1916.0
3930,3403,1914.5
3929,3403,1910.9
3785,3403,1908.6
4116,3403,1907.9
4109,3403,1906.0
3470,3403,1901.5
4257,3403,1898.3
3181,3403,1897.2
3909,3403,1891.8
3557,3403,1886.1
4061,3403,1881.7
3362,3403,1879.4
3926,3403,1877.0
4022,3403,1872.6
3788,3403,1860.8
3976,3403,1840.5
4306,3403,1839.4
3537,3403,1838.6
3551,3403,1832.2
3713,3403,1830.1
4044,3403,1829.6
4042,3403,1825.4
3818,3403,1824.6
4244,3403,1823.7
3655,3403,1815.4
3419,3403,1791.9
3652,3403,1785.8
3940,3403,1784.6
3280,3403,1781.7
3873,3403,1780.3
4392,3403,1774.4
4139,3403,1754.8
3983,3403,1750.5
4993,3403,1745.9
3278,3403,1728.2
3956,3403,1721.3
4303,3403,1721.0
3910,3403,1718.8
4213,3403,1707.3
4117,3403,1703.4
3290,3403,1703.1
4260,3403,1698.3
3835,3403,1681.4
3714,3403,1680.6
3252,3403,1676.8
4205,3403,1662.7
3849,3403,1657.3
3781,3403,1651.7
3251,3403,1631.5
4166,3403,1610.2
4176,3403,1609.3
3792,3403,1604.9
4082,3403,1588.3
3970,3403,1587.6
3852,3403,1583.5
3825,3403,1561.9
3279,3403,1560.4
3637,3403,1560.3
3571,3403,1558.6
3738,3403,1544.7
3991,3403,1542.8
3296,3403,1530.9
4039,3403,1527.7
3990,3403,1519.0
3906,3403,1514.3
4066,3403,1513.8
3184,3403,1506.3
4235,3403,1499.4
4070,3403,1499.1
3156,3403,1499.0
4278,3403,1493.2
4138,3403,1492.5
2,3403,1488.2
3989,3403,1485.3
3574,3403,1484.9
4084,3403,1482.9
3936,3403,1481.2
2767,3403,1471.4
3249,3403,1465.4
3724,3403,1461.0
4262,3403,1460.9
3328,3403,1454.0
3436,3403,1452.6
4198,3403,1434.0
4232,3403,1430.2
3969,3403,1427.4
3999,3403,1421.5
4023,3403,1420.8
3653,3403,1418.8
3431,3403,1418.7
3524,3403,1415.4
3746,3403,1414.9
3958,3403,1411.7
3482,3403,1407.0
3227,3403,1395.4
4163,3403,1386.9
4100,3403,1381.7
3836,3403,1379.0
3719,3403,1369.4
3953,3403,1365.9
3420,3403,1364.9
4658,3403,1364.1
3975,3403,1364.1
3763,3403,1355.7
10,3403,1350.9
4143,3403,1341.7
3892,3403,1341.3
4137,3403,1338.4
4206,3403,1338.0
3276,3403,1333.6
3826,3403,1333.1
3347,3403,1332.4
4204,3403,1332.0
4285,3403,1323.8
4350,3403,1319.4
4115,3403,1307.6
4228,3403,1304.7
3223,3403,1301.8
4081,3403,1300.0
3550,3403,1298.7
3243,3403,1296.7
3246,3403,1292.6
4233,3403,1290.2
3212,3403,1282.1
3764,3403,1278.9
3962,3403,1267.7
4154,3403,1267.4
3208,3403,1263.6
4283,3403,1255.1
4223,3403,1251.8
3786,3403,1250.6
4272,3403,1242.9
4012,3403,1237.7
3183,3403,1235.4
3955,3403,1233.2
3671,3403,1233.0
4312,3403,1231.2
3789,3403,1220.1
4124,3403,1217.4
4098,3403,1215.6
4086,3403,1209.7
4384,3403,1208.7
4075,3403,1208.4
2512,3403,1206.6
4088,3403,1197.2
3974,3403,1196.4
3120,3403,1196.0
3912,3403,1183.4
4048,3403,1182.5
3295,3403,1182.2
3265,3403,1179.0
4717,3403,1177.7
2589,3403,1175.1
3710,3403,1173.4
4135,3403,1172.8
3907,3403,1170.4
4043,3403,1169.8
4284,3403,1165.6
3891,3403,1160.9
3987,3403,1157.7
4250,3403,1155.7
3905,3403,1148.5
4159,3403,1146.4
3565,3403,1142.7
3327,3403,1142.4
4125,3403,1139.1
3570,3403,1138.0
2960,3403,1136.4
3173,3403,1135.9
2239,3403,1127.6
3187,3403,1125.2
4290,3403,1121.9
2537,3403,1120.7
4261,3403,1115.6
3895,3403,1113.0
3893,3403,1108.1
3774,3403,1105.7
3348,3403,1105.0
3131,3403,1100.3
3430,3403,1089.4
4094,3403,1086.4
3954,3403,1081.4
4102,3403,1080.6
4058,3403,1074.1
3675,3403,1073.4
4427,3403,1073.2
3960,3403,1070.4
4590,3403,1069.4
3549,3403,1069.3
3359,3403,1068.1
4032,3403,1066.8
3316,3403,1066.4
3045,3403,1053.8
4095,3403,1051.4
4317,3403,1048.4
3286,3403,1045.5
3952,3403,1043.3
3094,3403,1042.5
4011,3403,1040.6
4212,3403,1038.9
3649,3403,1038.0
3631,3403,1037.4
3023,3403,1037.4
4093,3403,1030.1
3527,3403,1029.4
4264,3403,1028.1
2610,3403,1024.6
4697,3403,1024.5
3605,3403,1024.5
3830,3403,1023.9
