origin,destination,2016,2025,2035,2050
nan,nan,1503886.6,1591964.9,1733211.5,1870073.4
15300,15300,13892.0,15697.2,15023.2,14377.2
15304,15304,11482.4,11124.2,12071.5,10824.4
7090,7090,11363.6,13245.9,14548.0,18207.4
7521,7521,6939.4,7151.0,6836.7,6834.6
15305,15305,4160.0,4326.5,4648.3,4428.5
15304,15300,3837.8,3782.9,3685.3,3609.7
15300,15304,3782.6,3867.1,3762.2,3735.4
3017,3017,3273.7,3411.7,3322.6,3411.6
6866,7090,3193.8,3581.4,3408.9,3599.7
7090,6866,3146.6,3481.2,3359.5,3598.6
6854,7090,3134.2,3474.9,4076.7,4972.4
2096,2096,3111.7,2424.7,2453.3,2435.9
7090,6854,2958.3,3405.8,3976.8,4915.8
5642,5642,2486.0,2462.3,2762.2,3001.8
2095,2095,2168.0,10166.7,9529.6,9765.0
4172,4172,2110.9,2493.9,3090.3,3604.0
7090,7088,2024.7,2326.8,2428.0,2927.0
22840,22840,1978.1,2081.7,2004.9,2080.2
1070,1070,1955.7,2351.7,2056.6,1975.9
7088,7090,1926.9,2276.7,2410.1,2995.8
4173,4173,1843.9,1813.8,1613.0,1707.3
7066,6935,1773.9,1520.4,1382.9,1157.5
7046,7066,1772.6,1419.2,1281.7,0.0
6935,7066,1765.3,1472.1,1372.3,1094.8
7066,7046,1763.9,1365.3,1222.5,0.0
15305,15304,1677.1,1403.0,1426.8,1295.4
7090,6967,1644.4,1736.3,1505.1,1283.1
6967,7090,1636.6,1740.6,1501.7,1298.1
7087,7090,1530.5,1629.2,1546.5,1702.1
4170,4170,1467.0,3818.4,5807.3,6192.4
15304,15305,1460.6,1209.9,1259.7,1159.0
15307,15307,1416.7,1217.9,1052.5,0.0
7090,7087,1409.0,1496.8,1428.1,1578.0
8729,8729,1388.0,1467.4,1194.2,1121.9
219,219,1368.5,1318.5,1039.6,0.0
2095,2096,1162.6,1998.7,1858.5,1917.6
2096,2095,1136.8,1980.6,1870.8,1810.5
7053,7066,1135.1,868.7,0.0,0.0
6276,6281,1133.6,1154.8,1220.7,1170.7
15300,15307,1121.5,1045.5,950.8,0.0
15307,15300,1115.1,1032.9,932.4,0.0
7066,7053,1087.8,837.1,0.0,0.0
8167,7090,1073.1,1236.9,1292.2,1109.8
7090,8167,1057.2,1212.3,1262.0,1147.4
15303,15300,1024.4,1026.0,943.7,0.0
22840,2096,1018.1,898.2,993.0,0.0
15300,15303,1013.2,1056.3,939.0,0.0
6281,6276,964.0,1013.1,1027.7,0.0
15301,2997,956.0,1121.0,1335.0,1719.0
2997,15301,956.0,1121.0,1335.0,1719.0
10935,10935,952.4,905.5,0.0,0.0
2726,2726,951.9,851.0,0.0,0.0
11902,11902,926.4,871.0,975.4,0.0
7066,7066,910.0,852.2,0.0,0.0
7084,7090,904.1,900.8,890.6,0.0
2096,22840,892.8,870.5,925.9,0.0
4690,4690,888.4,1103.3,1324.7,1273.1
12172,12172,885.9,973.2,1496.5,1726.8
