MODE,ACCESSMODE,TOD,2016,2025,2035,2050
Local Bus,Kiss and Ride to Transit,AM,957.564297,1329.999994,1543.751547,1339.529652
Local Bus,Kiss and Ride to Transit,EA,104.999999,177.0,146.499998,120.142853
Local Bus,Kiss and Ride to Transit,EV,976.019124,1279.980614,1174.535984,1292.226696
Local Bus,Kiss and Ride to Transit,MD,1792.131537,2726.615289,2464.960219,2454.701293
Local Bus,Kiss and Ride to Transit,PM,1377.312845,2012.759714,2122.898316,1893.68368
Local Bus,Park and Ride to Transit,AM,381.750001,588.270485,620.696322,613.251546
Local Bus,Park and Ride to Transit,EA,63.999999,107.756829,77.999999,73.425192
Local Bus,Park and Ride to Transit,EV,286.374993,449.500002,388.335421,388.074799
Local Bus,Park and Ride to Transit,MD,596.275799,1041.494802,872.657332,833.329045
Local Bus,Park and Ride to Transit,PM,504.695216,952.816273,704.280074,719.929979
Local Bus,Walk to Transit,AM,20109.630082,32414.696413,37824.629166,36645.672336
Local Bus,Walk to Transit,EA,3518.558062,5712.210981,6037.974372,5824.594794
Local Bus,Walk to Transit,EV,18930.609906,27477.652248,34097.192959,34612.659165
Local Bus,Walk to Transit,MD,43244.584061,62626.1809,78239.925626,77921.397114
Local Bus,Walk to Transit,PM,33033.379383,49317.931858,63904.396911,63858.376802
Local Bus and Premium Transit,Kiss and Ride to Transit,AM,1883.585689,3300.048571,4584.96687,4213.374744
Local Bus and Premium Transit,Kiss and Ride to Transit,EA,338.249998,604.801393,815.504347,821.058307
Local Bus and Premium Transit,Kiss and Ride to Transit,EV,1252.688549,1555.520403,4023.646496,3002.862309
Local Bus and Premium Transit,Kiss and Ride to Transit,MD,2785.646405,3635.835085,6237.181555,5652.936325
Local Bus and Premium Transit,Kiss and Ride to Transit,PM,2467.358963,3219.943971,6237.076204,6422.658423
Local Bus and Premium Transit,Park and Ride to Transit,AM,836.493778,1410.046211,2071.944387,2359.695031
Local Bus and Premium Transit,Park and Ride to Transit,EA,144.999999,254.966309,450.369202,476.7319
Local Bus and Premium Transit,Park and Ride to Transit,EV,341.375696,426.250285,988.135546,1075.614229
Local Bus and Premium Transit,Park and Ride to Transit,MD,889.059012,1254.856039,1947.568047,2193.008927
Local Bus and Premium Transit,Park and Ride to Transit,PM,945.431768,1256.247381,2936.137767,2982.606895
Local Bus and Premium Transit,Walk to Transit,AM,25122.446353,35368.394461,83606.925322,92423.651571
Local Bus and Premium Transit,Walk to Transit,EA,5942.709228,9710.039586,21273.883554,23319.347978
Local Bus and Premium Transit,Walk to Transit,EV,18359.318866,25902.684179,55444.60559,59459.180264
Local Bus and Premium Transit,Walk to Transit,MD,36636.042488,51192.106391,118137.402861,131223.592956
Local Bus and Premium Transit,Walk to Transit,PM,35257.119948,48721.89282,113095.404616,126189.052907
Premium Transit,Kiss and Ride to Transit,AM,4793.623154,7768.116681,18297.255226,24313.385605
Premium Transit,Kiss and Ride to Transit,EA,865.866846,1696.510303,4293.888166,5624.031993
Premium Transit,Kiss and Ride to Transit,EV,2706.268085,4652.070377,10488.248991,15217.522852
Premium Transit,Kiss and Ride to Transit,MD,5662.68918,9392.328947,23362.552088,33127.229578
Premium Transit,Kiss and Ride to Transit,PM,5678.194485,9305.718723,21535.550982,29880.142166
Premium Transit,Park and Ride to Transit,AM,2906.645312,5061.897345,10032.632627,12307.554259
Premium Transit,Park and Ride to Transit,EA,575.036179,1025.703978,2229.460338,2638.192841
Premium Transit,Park and Ride to Transit,EV,1176.342413,2039.881661,4125.842068,4795.426579
Premium Transit,Park and Ride to Transit,MD,3096.841812,5570.559079,10693.825451,12601.769889
Premium Transit,Park and Ride to Transit,PM,3281.43546,5541.510479,10848.774768,13405.944626
Premium Transit,Walk to Transit,AM,17507.006019,35253.901581,85588.212693,107193.146408
Premium Transit,Walk to Transit,EA,4069.331837,9129.435966,20753.697187,27232.934444
Premium Transit,Walk to Transit,EV,14418.96408,31457.869711,75236.485019,99157.672826
Premium Transit,Walk to Transit,MD,28255.805082,59150.813786,157176.693641,199491.892471
Premium Transit,Walk to Transit,PM,26465.384976,51409.011001,129035.65969,163569.661877
